fighter_id,fighter_name,fighter_dob,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_wins,fighter_losses,fighter_draws,fighter_slpm,fighter_str_acc_%,fighter_sapm,fighter_str_def_%,fighter_td_avg,fighter_td_acc_%,fighter_td_def_%,fighter_sub_avg,fighter_url,median_knockdowns,median_sig_strike_atts,median_sig_strikes,median_tot_strike_atts,median_tot_strikes,median_takedown_atts,median_takedowns,median_clinch_atts,median_clinchs,median_ctrl_time,median_total_fight_time,median_submissions,median_reversals,median_head_strike_atts,median_head_strikes,median_body_strike_atts,median_body_strikes,median_leg_strike_atts,median_leg_strikes,median_dist_strike_atts,median_dist_strikes,median_ground_atts,median_grounds
357,Jan Blachowicz,1983-02-24,187.96,205.0,198.12,Orthodox,29,10,1,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8,0.0,72.0,32.0,97.0,51.5,1.0,0.0,3.5,3.0,18.5,900.0,0.0,0.0,41.5,15.5,9.0,6.0,7.5,6.0,54.0,23.0,1.0,1.0
358,Jason Black,1972-07-15,172.72,155.0,,Orthodox,23,4,1,1.06,0.47,2.6,0.45,0.48,0.33,0.28,6.2,http://www.ufcstats.com/fighter-details/b2f743746e8dcfa2,0.0,12.0,5.0,38.0,29.5,0.5,0.0,2.5,1.5,62.0,684.5,4.5,1.0,9.5,3.5,2.5,1.5,0.0,0.0,7.0,1.0,3.0,2.5
359,Brad Blackburn,1977-05-25,177.8,170.0,185.42,Orthodox,18,13,1,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,http://www.ufcstats.com/fighter-details/7e69a4b0961aa555,0,150,59,165,83,1,0,7,3,148.0,900,0,0,116,36,19,10,22,15,135,55,4,2
360,Jason Blackford,,,,,,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/619d807fa54ae8f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,Tom Blackledge,,,205.0,,Orthodox,10,7,0,2.91,0.61,2.55,0.46,0.0,0.0,0.75,0.0,http://www.ufcstats.com/fighter-details/2adb11835acd815b,0,13,8,13,8,0,0,0,0,9.0,165,0,0,11,6,1,1,1,1,9,4,4,4
362,Sherrard Blackledge,1993-08-16,180.34,155.0,190.5,Orthodox,5,1,0,3.7,0.49,3.13,0.55,4.0,0.33,0.42,0.0,http://www.ufcstats.com/fighter-details/0e5c79b3594ff0ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Da'Mon Blackshear,1994-08-12,177.8,135.0,182.88,Switch,14,7,1,4.28,0.47,4.14,0.48,2.33,0.37,0.66,0.8,http://www.ufcstats.com/fighter-details/da22387a0407a2dc,0.0,126.0,54.5,161.0,83.5,3.0,1.0,8.0,6.5,167.5,717.0,0.5,0.5,91.0,32.5,15.0,11.5,12.5,10.0,101.0,37.0,6.0,5.0
364,Erin Blanchfield,1999-05-04,162.56,125.0,167.64,Orthodox,12,2,0,5.47,0.45,4.34,0.58,2.05,0.33,0.81,1.0,http://www.ufcstats.com/fighter-details/669970f7feba8ecd,0,128,53,147,93,3,0,6,3,56.0,900,0,0,99,29,16,11,11,8,102,46,0,0
365,Maximo Blanco,1983-10-16,172.72,145.0,180.34,Orthodox,12,8,1,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,http://www.ufcstats.com/fighter-details/4a1329cc8eb0928a,0,97,24,105,24,1,1,1,0,29.0,900,0,0,72,15,7,2,6,5,63,16,1,0
366,David Blanco,,170.18,145.0,,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ebf298f8ac7e232b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,Curtis Blaydes,1991-02-18,193.04,265.0,203.2,Orthodox,18,5,0,3.54,0.5,1.91,0.58,5.69,0.53,0.31,0.0,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,0,47,25,63,35,0,0,0,0,9.0,399,0,0,42,18,3,1,2,2,38,15,1,1
368,Tereza Bleda,2001-11-30,175.26,125.0,180.34,Orthodox,7,1,0,3.02,0.53,1.86,0.46,1.81,0.27,0.83,0.7,http://www.ufcstats.com/fighter-details/59c438c81fbf3ece,0.5,85.5,51.0,162.0,121.5,6.5,1.5,5.0,4.0,392.0,793.5,0.0,0.5,60.0,32.0,13.5,9.5,12.0,9.5,60.5,29.0,20.0,18.0
369,Arlene Blencowe,1983-04-11,165.1,145.0,,,9,6,0,2.31,0.43,2.1,0.43,0.0,0.0,0.55,0.6,http://www.ufcstats.com/fighter-details/35d6337320a4ae48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Byron Bloodworth,1983-08-16,172.72,135.0,,Orthodox,6,3,0,1.82,0.28,5.18,0.5,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/ecdf14f4f8643d39,0.0,44.0,12.5,46.5,15.0,1.5,0.0,14.0,3.0,26.5,411.0,0.0,0.0,34.5,6.0,5.0,3.0,4.5,3.5,39.5,9.5,0.0,0.0
371,Dashawn Boatwright,1988-02-29,182.88,205.0,,Orthodox,3,1,0,0.0,0.0,52.5,0.12,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/046a85108610c0d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Dan Bobish,1970-01-26,187.96,345.0,,Southpaw,17,9,0,2.06,0.44,1.74,0.34,2.44,0.42,0.0,1.6,http://www.ufcstats.com/fighter-details/f348d05403fad037,0.0,11.0,4.5,15.5,9.0,0.5,0.5,3.0,1.5,,114.0,0.5,0.0,11.0,4.5,0.0,0.0,0.0,0.0,4.5,1.0,3.5,2.0
373,Mark Bocek,1981-10-24,172.72,155.0,190.5,Orthodox,12,5,0,2.34,0.43,2.32,0.6,3.65,0.36,0.31,1.3,http://www.ufcstats.com/fighter-details/cf9d24e4bd0cf2ce,0,58,23,89,53,2,1,7,5,267.0,900,1,0,48,16,5,3,3,3,25,12,15,11
374,Kyle Bochniak,1987-02-05,170.18,145.0,177.8,Orthodox,8,5,0,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,http://www.ufcstats.com/fighter-details/c5af5750e8bae4f0,0,165,55,168,56,9,1,7,5,63.0,900,0,0,136,31,22,13,12,10,155,47,0,0
375,James Bochnovic,1989-02-13,193.04,205.0,205.74,Orthodox,8,3,0,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/984d15d5dc7bfcf9,0.0,15.0,4.0,21.5,9.5,1.0,0.0,2.0,0.5,33.5,371.0,0.0,0.0,11.0,1.0,3.0,2.0,1.0,1.0,13.0,2.5,1.0,1.0
376,Jeremy Boczulak,,,,,,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.ufcstats.com/fighter-details/1afd74f8cb0719f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
